voter,choice1,choice2,choice3,choice4,choice5
0,Eliel,Rinaldo,Monika,Gregor,Rodrigo
1,Regena,Rinaldo,Eliel,Rodrigo,Gregor
2,Eliel,Monika,Antonia,Jepson,Flore
3,Flore,Eliel,Antonia,Monika,Renata
4,Monika,Cherilyn,Jepson,Flore,Rinaldo
5,Cherilyn,Eliel,Lea,Rodrigo,Regena
6,Renata,Gregor,Jepson,Lea,Flore
7,Rodrigo,Monika,Flore,Regena,Eliel
8,Monika,Lea,Renata,Rodrigo,Gregor
9,Lea,Regena,Flore,Gregor,Cherilyn
10,Monika,Gregor,Cherilyn,Eliel,Rodrigo
11,Rodrigo,Antonia,Jepson,Rinaldo,Eliel
12,Regena,Eliel,Cherilyn,Gregor,Jepson
13,Monika,Renata,Regena,Jepson,Eliel
14,Regena,Rodrigo,Rinaldo,Monika,Antonia
15,Eliel,Regena,Jepson,Gregor,Cherilyn
16,Gregor,Rodrigo,Eliel,Monika,Antonia
17,Renata,Eliel,Rodrigo,Gregor,Cherilyn
18,Rinaldo,Flore,Rodrigo,Antonia,Cherilyn
19,Renata,Jepson,Lea,Antonia,Flore
20,Lea,Monika,Renata,Cherilyn,Rinaldo
21,Regena,Gregor,Rodrigo,Monika,Jepson
22,Rodrigo,Monika,Renata,Flore,Cherilyn
23,Cherilyn,Lea,Rinaldo,Flore,Jepson
24,Antonia,Cherilyn,Rodrigo,Renata,Rinaldo
25,Antonia,Lea,Regena,Cherilyn,Rodrigo
26,Antonia,Flore,Lea,Renata,Jepson
27,Renata,Eliel,Cherilyn,Lea,Gregor
28,Jepson,Rodrigo,Flore,Monika,Regena
29,Eliel,Rodrigo,Flore,Gregor,Monika
30,Regena,Antonia,Eliel,Gregor,Cherilyn
31,Rodrigo,Renata,Flore,Cherilyn,Gregor
32,Eliel,Regena,Renata,Lea,Gregor
33,Flore,Regena,Renata,Jepson,Monika
34,Lea,Eliel,Gregor,Regena,Renata
35,Rodrigo,Regena,Eliel,Antonia,Cherilyn
36,Rinaldo,Monika,Regena,Renata,Gregor
37,Lea,Gregor,Rodrigo,Renata,Jepson
38,Monika,Rinaldo,Gregor,Antonia,Cherilyn
39,Jepson,Lea,Gregor,Eliel,Cherilyn
40,Eliel,Antonia,Rodrigo,Monika,Renata
41,Cherilyn,Lea,Eliel,Flore,Antonia
42,Regena,Antonia,Cherilyn,Rodrigo,Rinaldo
43,Lea,Rodrigo,Antonia,Eliel,Rinaldo
44,Eliel,Rinaldo,Renata,Regena,Lea
45,Cherilyn,Regena,Renata,Jepson,Monika
46,Rinaldo,Regena,Monika,Gregor,Jepson
47,Flore,Jepson,Regena,Gregor,Rodrigo
48,Antonia,Regena,Rodrigo,Jepson,Gregor
49,Cherilyn,Jepson,Renata,Rodrigo,Monika
50,Rinaldo,Gregor,Monika,Lea,Rodrigo
51,Monika,Eliel,Cherilyn,Rinaldo,Regena
52,Eliel,Regena,Flore,Jepson,Rinaldo
53,Gregor,Antonia,Jepson,Monika,Cherilyn
54,Eliel,Rinaldo,Cherilyn,Rodrigo,Monika
55,Eliel,Lea,Regena,Flore,Cherilyn
56,Eliel,Gregor,Cherilyn,Rinaldo,Rodrigo
57,Antonia,Flore,Gregor,Lea,Rinaldo
58,Eliel,Gregor,Rodrigo,Jepson,Flore
59,Gregor,Cherilyn,Regena,Rodrigo,Eliel
60,Eliel,Gregor,Rodrigo,Lea,Flore
61,Rinaldo,Lea,Regena,Flore,Cherilyn
62,Antonia,Jepson,Lea,Cherilyn,Gregor
63,Rodrigo,Antonia,Monika,Rinaldo,Gregor
64,Monika,Cherilyn,Regena,Jepson,Antonia
65,Monika,Lea,Eliel,Rinaldo,Jepson
66,Antonia,Cherilyn,Gregor,Monika,Regena
67,Rodrigo,Renata,Jepson,Eliel,Cherilyn
68,Monika,Antonia,Jepson,Lea,Renata
69,Renata,Flore,Lea,Monika,Rinaldo
70,Renata,Cherilyn,Rodrigo,Flore,Rinaldo
71,Antonia,Flore,Regena,Renata,Monika
72,Lea,Gregor,Antonia,Rinaldo,Regena
73,Jepson,Antonia,Cherilyn,Lea,Eliel
74,Regena,Rinaldo,Antonia,Renata,Lea
75,Cherilyn,Gregor,Rinaldo,Renata,Lea
76,Eliel,Lea,Antonia,Cherilyn,Jepson
77,Eliel,Cherilyn,Rinaldo,Flore,Gregor
78,Regena,Antonia,Gregor,Lea,Rodrigo
79,Eliel,Cherilyn,Antonia,Jepson,Gregor
80,Rodrigo,Gregor,Cherilyn,Flore,Monika
81,Antonia,Jepson,Rodrigo,Flore,Rinaldo
82,Rodrigo,Monika,Gregor,Regena,Renata
83,Jepson,Gregor,Rodrigo,Regena,Eliel
84,Antonia,Flore,Lea,Monika,Renata
85,Gregor,Monika,Regena,Rodrigo,Eliel
86,Eliel,Cherilyn,Rinaldo,Lea,Antonia
87,Lea,Monika,Rodrigo,Cherilyn,Rinaldo
88,Lea,Renata,Monika,Rodrigo,Eliel
89,Gregor,Flore,Lea,Cherilyn,Antonia
90,Eliel,Cherilyn,Regena,Gregor,Lea
91,Jepson,Rinaldo,Rodrigo,Lea,Gregor
92,Regena,Jepson,Gregor,Antonia,Rodrigo
93,Rodrigo,Eliel,Rinaldo,Lea,Antonia
94,Cherilyn,Gregor,Renata,Flore,Jepson
95,Rodrigo,Antonia,Cherilyn,Rinaldo,Jepson
96,Rinaldo,Flore,Antonia,Rodrigo,Regena
